Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Sweep_Type
FedHST,FashionMNIST,0.5,0.5,0.999,1,2.8168726593017577,0.16085127794986742,26.52,30,100,54410,5.725992918014526,5.712295770645142,0.013697147369384766,0.013007164001464844,122.7568359375,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,2,1.9809943820953368,0.3543751706715346,42.91,26,100,54410,3.969238519668579,3.9573287963867188,0.011909723281860352,0.011219978332519531,122.7568359375,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,3,2.270345198440552,0.49179303528279783,57.84,30,100,54410,4.569694995880127,4.556778907775879,0.012916088104248047,0.012279033660888672,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,4,1.4990818677902222,0.5270546300726631,60.83,23,100,54410,3.1116695404052734,3.101069688796997,0.010599851608276367,0.009922266006469727,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,5,1.0077947516441346,0.6572117886370263,68.03,26,100,54410,3.571847438812256,3.561760902404785,0.010086536407470703,0.009585380554199219,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,6,1.3811707523345946,0.5111702335911936,58.35,24,100,54410,4.261653184890747,4.25104022026062,0.010612964630126953,0.009973287582397461,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,7,0.7410440459728241,0.6968524390691109,72.83,28,100,54410,4.318777322769165,4.306368827819824,0.01240849494934082,0.011797666549682617,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,8,0.7773220719337464,0.6906077695370758,70.62,24,100,54410,3.5271215438842773,3.515961170196533,0.01116037368774414,0.010497331619262695,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,9,0.6076326999664307,0.7673180451858556,78.23,25,100,54410,3.3822381496429443,3.370920181274414,0.011317968368530273,0.010675668716430664,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,10,0.6596010175704956,0.7364377261271355,75.7,20,100,54410,2.639479398727417,2.6304569244384766,0.00902247428894043,0.008478879928588867,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,11,0.6016486245155335,0.7582181720128508,78.28,20,100,54410,2.233687162399292,2.2244858741760254,0.009201288223266602,0.00860595703125,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,12,0.5536591034412384,0.7802997195460861,79.6,30,100,54410,4.538161277770996,4.524964809417725,0.013196468353271484,0.012528181076049805,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,13,0.5005412064552307,0.8154483009169129,81.72,29,100,54410,4.431215763092041,4.418385982513428,0.012829780578613281,0.012228250503540039,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,14,0.5272919505119323,0.8040004966141154,81.37,22,100,54410,3.7540900707244873,3.7436323165893555,0.010457754135131836,0.009860992431640625,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,15,0.654142934179306,0.7635367915946307,79.87,28,100,54410,4.170417785644531,4.158544063568115,0.011873722076416016,0.011279106140136719,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,16,0.5709646426677704,0.7775289136826127,80.82,28,100,54410,5.006769418716431,4.994636297225952,0.012133121490478516,0.01149439811706543,122.98046875,beta1
