Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Seed
FedHST,FashionMNIST,0.0,0.9,0.999,1,3.832808969497681,0.16520001201763906,25.01,30,100,54410,7.749794960021973,7.394613027572632,0.3551819324493408,0.3543701171875,122.7568359375,42
FedHST,FashionMNIST,0.0,0.9,0.999,2,2.224024892807007,0.3007757017149165,38.47,26,100,54410,3.79339337348938,3.7809488773345947,0.012444496154785156,0.011751651763916016,122.7568359375,42
FedHST,FashionMNIST,0.0,0.9,0.999,3,1.7567244785308838,0.47758562927216913,51.59,30,100,54410,4.400362730026245,4.388357639312744,0.012005090713500977,0.011386394500732422,122.98046875,42
FedHST,FashionMNIST,0.0,0.9,0.999,4,1.7536198490142823,0.429045874747451,47.5,23,100,54410,2.9527575969696045,2.9428060054779053,0.009951591491699219,0.009313344955444336,122.98046875,42
FedHST,FashionMNIST,0.0,0.9,0.999,5,1.1471710628509522,0.5828107069751234,62.12,26,100,54410,3.958071708679199,3.945760726928711,0.012310981750488281,0.011698484420776367,122.98046875,42
FedHST,FashionMNIST,0.0,0.9,0.999,6,1.2489497984886169,0.5980170933897396,64.82,24,100,54410,4.846120119094849,4.835655450820923,0.010464668273925781,0.009871244430541992,122.98046875,42
FedHST,FashionMNIST,0.0,0.9,0.999,7,1.238066039466858,0.643503434041704,68.35,28,100,54410,4.863537788391113,4.850869655609131,0.012668132781982422,0.012068748474121094,122.98046875,42
FedHST,FashionMNIST,0.0,0.9,0.999,8,0.773702658033371,0.7284640307391168,73.39,24,100,54410,3.9660205841064453,3.955611228942871,0.010409355163574219,0.009711742401123047,122.98046875,42
FedHST,FashionMNIST,0.0,0.9,0.999,9,1.0238666430473327,0.7098508815344039,71.38,25,100,54410,3.626985788345337,3.615638494491577,0.011347293853759766,0.01073455810546875,122.98046875,42
FedHST,FashionMNIST,0.0,0.9,0.999,10,1.0015854453086852,0.720782060892156,73.37,20,100,54410,2.730879068374634,2.720916986465454,0.009962081909179688,0.009297370910644531,122.98046875,42
FedHST,FashionMNIST,0.0,0.9,0.999,11,0.7484519824028015,0.7678934989563375,77.91,20,100,54410,2.322171211242676,2.3129053115844727,0.009265899658203125,0.008620262145996094,122.98046875,42
FedHST,FashionMNIST,0.0,0.9,0.999,12,0.6195007627487182,0.7839333643093482,79.94,30,100,54410,4.4568915367126465,4.445796966552734,0.01109457015991211,0.010589838027954102,122.98046875,42
FedHST,FashionMNIST,0.0,0.9,0.999,13,0.5889428948879242,0.7929943100472363,79.99,29,100,54410,4.742008924484253,4.729229211807251,0.012779712677001953,0.012162923812866211,122.98046875,42
FedHST,FashionMNIST,0.0,0.9,0.999,14,0.5852538819789886,0.7884944881387264,79.24,22,100,54410,4.066480398178101,4.056291580200195,0.010188817977905273,0.009566307067871094,122.98046875,42
FedHST,FashionMNIST,0.0,0.9,0.999,15,0.5825831146240235,0.7857082754073899,79.15,28,100,54410,4.754944086074829,4.743103504180908,0.011840581893920898,0.011251211166381836,122.98046875,42
FedHST,FashionMNIST,0.0,0.9,0.999,16,0.5724360960960388,0.7995222029678957,80.72,28,100,54410,5.173411846160889,5.161044597625732,0.01236724853515625,0.011750936508178711,122.98046875,42
FedHST,FashionMNIST,0.0,0.9,0.999,17,0.5690204051017761,0.798676529844409,80.76,26,100,54410,4.429095506668091,4.418700933456421,0.010394573211669922,0.009820222854614258,122.98046875,42
FedHST,FashionMNIST,0.0,0.9,0.999,18,0.5675409595012665,0.7968099919610834,79.69,21,100,54410,3.107922077178955,3.099269151687622,0.008652925491333008,0.008046388626098633,122.98046875,42
FedHST,FashionMNIST,0.0,0.9,0.999,19,0.5943888290882111,0.7830252445100773,77.91,28,100,54410,4.641040802001953,4.628384828567505,0.012655973434448242,0.011996269226074219,122.98046875,42
FedHST,FashionMNIST,0.0,0.9,0.999,20,0.5770949923992157,0.7876016179866254,78.37,28,100,54410,3.683230400085449,3.6706159114837646,0.01261448860168457,0.012001991271972656,122.98046875,42
