Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Local_Epochs_Config
FedAdam,FashionMNIST,,0.9,0.999,1,3.832808969497681,0.16520001201763906,25.01,30,100,54410,5.913290977478027,5.904606342315674,0.008684635162353516,,122.7568359375,1
FedAdam,FashionMNIST,,0.9,0.999,2,2.224024892807007,0.3007757017149165,38.47,26,100,54410,4.347010135650635,4.339287996292114,0.007722139358520508,,122.7568359375,1
FedAdam,FashionMNIST,,0.9,0.999,3,1.7567244785308838,0.47758562927216913,51.59,30,100,54410,5.183621883392334,5.175255298614502,0.008366584777832031,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,4,1.7536198490142823,0.429045874747451,47.5,23,100,54410,3.2653393745422363,3.2588067054748535,0.0065326690673828125,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,5,1.1471710628509522,0.5828107069751234,62.12,26,100,54410,3.940863609313965,3.933826208114624,0.00703740119934082,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,6,1.2489497984886169,0.5980170933897396,64.82,24,100,54410,4.78169846534729,4.7746901512146,0.00700831413269043,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,7,1.238066039466858,0.643503434041704,68.35,28,100,54410,4.353273630142212,4.3456034660339355,0.007670164108276367,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,8,0.773702658033371,0.7284640307391168,73.39,24,100,54410,3.398606061935425,3.391378164291382,0.007227897644042969,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,9,1.0238666430473327,0.7098508815344039,71.38,25,100,54410,3.2550442218780518,3.247276544570923,0.007767677307128906,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,10,1.0015854453086852,0.720782060892156,73.37,20,100,54410,2.695281982421875,2.688899278640747,0.00638270378112793,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,11,0.7484519824028015,0.7678934989563375,77.91,20,100,54410,2.263164758682251,2.2569117546081543,0.00625300407409668,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,12,0.6195007627487182,0.7839333643093482,79.94,30,100,54410,4.609751462936401,4.600746154785156,0.009005308151245117,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,13,0.5889428948879242,0.7929943100472363,79.99,29,100,54410,4.234854459762573,4.227245807647705,0.007608652114868164,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,14,0.5852538819789886,0.7884944881387264,79.24,22,100,54410,3.678269386291504,3.671452522277832,0.006816864013671875,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,15,0.5825831146240235,0.7857082754073899,79.15,28,100,54410,4.102222919464111,4.095029354095459,0.007193565368652344,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,16,0.5724360960960388,0.7995222029678957,80.72,28,100,54410,4.771657705307007,4.764594316482544,0.007063388824462891,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,17,0.5690204051017761,0.798676529844409,80.76,26,100,54410,4.148400068283081,4.140819787979126,0.007580280303955078,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,18,0.5675409595012665,0.7968099919610834,79.69,21,100,54410,3.1152703762054443,3.108813762664795,0.006456613540649414,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,19,0.5943888290882111,0.7830252445100773,77.91,28,100,54410,5.17102575302124,5.163896560668945,0.007129192352294922,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,20,0.5770949923992157,0.7876016179866254,78.37,28,100,54410,4.0841264724731445,4.077430009841919,0.006696462631225586,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,21,0.4845778194904327,0.8206092708630498,82.19,24,100,54410,4.783310651779175,4.776413202285767,0.006897449493408203,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,22,0.5011556785821915,0.8105074984313745,82.08,26,100,54410,4.212575435638428,4.205354690551758,0.007220745086669922,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,23,0.5661304898738861,0.7857509547854853,80.96,28,100,54410,4.692267179489136,4.6851561069488525,0.007111072540283203,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,24,0.5166094083547592,0.8110752242729488,82.54,23,100,54410,2.853412389755249,2.84708309173584,0.00632929801940918,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,25,0.4787626515388489,0.8227241194160448,82.28,29,100,54410,3.5708322525024414,3.5640761852264404,0.0067560672760009766,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,26,0.49147541666030886,0.8194995705307685,81.72,26,100,54410,4.203842639923096,4.19743275642395,0.006409883499145508,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,27,0.4381077780723572,0.8419948651460063,84.15,27,100,54410,3.8984317779541016,3.8920137882232666,0.006417989730834961,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,28,0.41333065662384033,0.8518245644238036,85.22,30,100,54410,4.7464964389801025,4.738025665283203,0.008470773696899414,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,29,0.43632921981811523,0.8412512536055615,84.44,25,100,54410,3.088857889175415,3.081587791442871,0.007270097732543945,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,30,0.49679515280723574,0.8217631489683148,83.05,28,100,54410,3.8153040409088135,3.808475971221924,0.0068280696868896484,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,31,0.4802283306360245,0.8313149794560977,83.39,25,100,54410,3.0807626247406006,3.074247360229492,0.0065152645111083984,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,32,0.47445841381549836,0.826942163975745,82.55,25,100,54410,3.038313865661621,3.0316965579986572,0.006617307662963867,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,33,0.4814020111083984,0.8251102658441143,82.22,27,100,54410,4.157095193862915,4.150539875030518,0.006555318832397461,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,34,0.436985261964798,0.8446703521936904,84.79,29,100,54410,4.713352203369141,4.7059550285339355,0.007397174835205078,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,35,0.5016018880844116,0.8132893165405181,82.95,27,100,54410,3.9194610118865967,3.9115493297576904,0.00791168212890625,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,36,0.5309196515560151,0.8000627241511122,82.33,26,100,54410,4.228630304336548,4.221554279327393,0.0070760250091552734,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,37,0.45792024850845336,0.8262070677352543,84.18,22,100,54410,3.7775537967681885,3.771371841430664,0.006181955337524414,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,38,0.40700555148124695,0.8508778040075529,85.63,25,100,54410,3.0030744075775146,2.99604868888855,0.007025718688964844,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,39,0.39670042667388916,0.855670279127364,85.7,27,100,54410,4.063927888870239,4.056841611862183,0.007086277008056641,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,40,0.4058324212551117,0.8486903975971304,84.58,27,100,54410,3.997223377227783,3.9894917011260986,0.00773167610168457,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,41,0.42146879048347474,0.8426006876080677,83.85,26,100,54410,4.113091468811035,4.105427503585815,0.0076639652252197266,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,42,0.4127809402704239,0.8507303159353178,84.84,28,100,54410,4.174581050872803,4.166766405105591,0.007814645767211914,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,43,0.4014323299884796,0.8566710802739774,85.79,26,100,54410,3.895155668258667,3.8877129554748535,0.0074427127838134766,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,44,0.43820868980884553,0.8417565022495588,84.99,29,100,54410,5.360223293304443,5.352694749832153,0.007528543472290039,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,45,0.4521956150531769,0.8344434957695481,84.53,26,100,54410,3.0811688899993896,3.0736589431762695,0.007509946823120117,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,46,0.45887479107379914,0.8286606886673503,83.73,30,100,54410,4.947712421417236,4.940582036972046,0.00713038444519043,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,47,0.41193770047426226,0.8459774003889388,85.01,27,100,54410,3.9579098224639893,3.950719118118286,0.007190704345703125,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,48,0.41141708694696427,0.8486274174807719,84.8,27,100,54410,4.957396984100342,4.950925827026367,0.006471157073974609,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,49,0.491277218079567,0.8137845359401752,81.52,25,100,54410,3.622704029083252,3.6153981685638428,0.00730586051940918,,122.966796875,1
FedAdam,FashionMNIST,,0.9,0.999,50,0.4547274294614792,0.8348885769317157,83.42,30,100,54410,4.584875822067261,4.576765537261963,0.008110284805297852,,122.966796875,1
FedHST,FashionMNIST,0.5,0.9,0.999,1,2.0543050369262694,0.17766728775076923,25.55,30,100,54410,5.241308212280273,5.230647325515747,0.010660886764526367,0.010153055191040039,122.7568359375,1
FedHST,FashionMNIST,0.5,0.9,0.999,2,1.6179615463256836,0.29421511668575795,40.48,26,100,54410,3.7880330085754395,3.7771799564361572,0.010853052139282227,0.010327339172363281,122.7568359375,1
FedHST,FashionMNIST,0.5,0.9,0.999,3,1.2886125064849854,0.4411332889986964,51.78,30,100,54410,4.459634065628052,4.446808338165283,0.012825727462768555,0.012160778045654297,122.98046875,1
FedHST,FashionMNIST,0.5,0.9,0.999,4,1.0889477898597717,0.4884072632674723,54.93,23,100,54410,2.7817420959472656,2.7728893756866455,0.008852720260620117,0.008357763290405273,122.98046875,1
FedHST,FashionMNIST,0.5,0.9,0.999,5,0.894386956691742,0.6617474237343839,68.89,26,100,54410,3.365724563598633,3.3542637825012207,0.01146078109741211,0.010833978652954102,122.98046875,1
FedHST,FashionMNIST,0.5,0.9,0.999,6,0.7609183052062988,0.7317264909606905,74.21,24,100,54410,4.290285587310791,4.280398607254028,0.009886980056762695,0.009331941604614258,122.98046875,1
