Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Participation_Frac
FedAdam,FashionMNIST,,0.9,0.999,1,5.208389055633545,0.01818181818181818,10.0,10,100,54410,1.339925765991211,1.3360345363616943,0.0038912296295166016,,118.5771484375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,2,4.947144580841065,0.11498421590784771,20.59,5,100,54410,0.6297237873077393,0.6271488666534424,0.002574920654296875,,118.5771484375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,3,5.024257365417481,0.01818181818181818,10.0,6,100,54410,1.4474575519561768,1.4444305896759033,0.0030269622802734375,,118.5771484375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,4,2.226221222114563,0.31603116941230774,38.68,10,100,54410,1.5728256702423096,1.5689027309417725,0.003922939300537109,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,5,2.53650382270813,0.38808636124737106,46.41,6,100,54410,0.36241936683654785,0.3594479560852051,0.0029714107513427734,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,6,2.1306435358047486,0.5524642440421667,61.89,7,100,54410,1.2945361137390137,1.2912933826446533,0.0032427310943603516,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,7,0.9872421868324279,0.6815033819581802,70.26,7,100,54410,1.779209852218628,1.7760217189788818,0.0031881332397460938,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,8,1.016765045261383,0.7009179580965649,71.44,9,100,54410,1.1498162746429443,1.145782232284546,0.0040340423583984375,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,9,1.2985227904319763,0.6692515414000142,69.0,10,100,54410,1.6578950881958008,1.6540226936340332,0.003872394561767578,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,10,1.315672156715393,0.6073763950549284,62.97,6,100,54410,0.5643925666809082,0.561640739440918,0.0027518272399902344,,118.787109375,0.05-0.10
