Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Seed
FedHST,FashionMNIST,0.5,0.7,0.9999,1,2.055883200073242,0.2407806781223299,35.72,26,100,54410,13.519281387329102,13.435626983642578,0.08365440368652344,0.08278512954711914,121.9208984375,0
FedHST,FashionMNIST,0.5,0.7,0.9999,2,1.4328555974960326,0.3317191668083531,43.05,27,100,54410,11.041807889938354,11.03008246421814,0.011725425720214844,0.011031389236450195,122.353515625,0
FedHST,FashionMNIST,0.5,0.7,0.9999,3,1.0908118580818176,0.54877218671117,57.4,29,100,54410,14.032259225845337,14.01874327659607,0.013515949249267578,0.012770414352416992,122.77197265625,0
FedHST,FashionMNIST,0.5,0.7,0.9999,4,1.0116489459991456,0.6189482507541497,63.97,22,100,54410,8.761972904205322,8.750763654708862,0.011209249496459961,0.01051950454711914,122.77197265625,0
FedHST,FashionMNIST,0.5,0.7,0.9999,5,0.7538014122962952,0.69634467409256,72.32,26,100,54410,10.736846208572388,10.724071264266968,0.012774944305419922,0.012118101119995117,122.77197265625,0
FedHST,FashionMNIST,0.5,0.7,0.9999,6,0.6994067839622498,0.7278440448692148,75.43,20,100,54410,9.263388633728027,9.253483295440674,0.009905338287353516,0.009240388870239258,122.77197265625,0
FedHST,FashionMNIST,0.5,0.7,0.9999,7,0.7008379160881042,0.7229015754990649,74.22,23,100,54410,9.492194175720215,9.481013536453247,0.011180639266967773,0.010523796081542969,122.77197265625,0
FedHST,FashionMNIST,0.5,0.7,0.9999,8,0.6538637806415558,0.748811460530262,76.32,28,100,54410,12.536494970321655,12.52049708366394,0.015997886657714844,0.01512908935546875,122.77197265625,0
FedHST,FashionMNIST,0.5,0.7,0.9999,9,0.5208765429973602,0.8039504011904637,81.52,28,100,54410,16.336114645004272,16.32299041748047,0.013124227523803711,0.012411117553710938,122.77197265625,0
FedHST,FashionMNIST,0.5,0.7,0.9999,10,0.560987162065506,0.7876696697991464,79.71,30,100,54410,14.829663515090942,14.815796852111816,0.013866662979125977,0.013176918029785156,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,11,0.5948993264675141,0.7782720276851414,78.23,20,100,54410,8.13446855545044,8.125265121459961,0.009203433990478516,0.008617877960205078,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,12,0.5302952652931213,0.8026802464452741,80.65,20,100,54410,12.80766248703003,12.79830813407898,0.009354352951049805,0.008728504180908203,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,13,0.471390691781044,0.8186956311191234,82.96,24,100,54410,12.78366494178772,12.772227048873901,0.01143789291381836,0.010742425918579102,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,14,0.48541633229255676,0.819651180469438,83.01,28,100,54410,12.645414113998413,12.631407022476196,0.014007091522216797,0.013305187225341797,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,15,0.5352454941272735,0.8044314971086584,81.08,27,100,54410,14.356263875961304,14.344624280929565,0.011639595031738281,0.011029481887817383,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,16,0.4665362592935562,0.8256390890852723,83.27,25,100,54410,9.056297302246094,9.044432163238525,0.01186513900756836,0.011183500289916992,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,17,0.49858998746871946,0.8178890313128105,82.18,26,100,54410,11.837901592254639,11.826549053192139,0.0113525390625,0.010716915130615234,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,18,0.5743914680957795,0.7834209035211107,78.95,26,100,54410,11.618058204650879,11.606620073318481,0.011438131332397461,0.01078033447265625,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,19,0.5381263035774231,0.7961828907159187,80.57,20,100,54410,8.933500528335571,8.923898935317993,0.009601593017578125,0.00897216796875,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,20,0.45474468030929566,0.8300894677175735,83.56,27,100,54410,14.240101099014282,14.227623701095581,0.012477397918701172,0.01185917854309082,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,21,0.5537358947277069,0.8032549147643436,80.99,30,100,54410,15.71496319770813,15.700769186019897,0.014194011688232422,0.013497352600097656,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,22,0.5573610535144806,0.8033365997459716,81.01,25,100,54410,13.365224123001099,13.354051351547241,0.011172771453857422,0.010588407516479492,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,23,0.4505712190628052,0.838694993058272,84.56,29,100,54410,12.091047048568726,12.077471256256104,0.01357579231262207,0.01288914680480957,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,24,0.4246856287479401,0.842694946720185,84.78,20,100,54410,9.627892971038818,9.619561195373535,0.008331775665283203,0.007773637771606445,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,25,0.5927501501083374,0.7796794734572424,79.07,21,100,54410,10.953741073608398,10.942600727081299,0.01114034652709961,0.010532379150390625,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,26,0.5300437543392181,0.801848679032199,81.01,25,100,54410,11.202281951904297,11.190539121627808,0.011742830276489258,0.011077165603637695,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,27,0.44261252961158754,0.8360747784265774,83.8,25,100,54410,12.577040195465088,12.565083742141724,0.011956453323364258,0.011320829391479492,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,28,0.4617558004617691,0.8322516846433136,83.58,25,100,54410,12.751388311386108,12.739383697509766,0.012004613876342773,0.011321067810058594,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,29,0.5593251611232758,0.7939105744121411,80.83,20,100,54410,7.949355840682983,7.94084358215332,0.008512258529663086,0.007932901382446289,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,30,0.4669421941518784,0.8276825109187161,83.83,27,100,54410,10.963695049285889,10.951233148574829,0.01246190071105957,0.011877059936523438,122.9814453125,0
